java/build/org/apache/derbyBuild/ChangesFileGenerator.java!processThrowable(Throwable),1,12,0,7,1,2,5,2,2,1,3,1,2,2,2,2,1,0,0,1,0,0.71
java/build/org/apache/derbyBuild/ChangesFileGenerator.java!replaceTag(Document#commaString#commaString),4,36,6,25,9,13,5,7,7,13,20,10,10,7,7,7,1,0,0,3,0,0.2
java/build/org/apache/derbyBuild/ChangesFileGenerator.java!replaceVariables(GeneratorState),4,13,1,7,3,3,5,4,4,3,4,2,2,1,1,1,1,0,0,0,0,0.71
java/build/org/apache/derbyBuild/ChangesFileGenerator.java!setBugListFileName(String),2,2,0,1,1,1,1,1,1,1,2,1,1,1,1,1,1,0,0,0,0,1
java/build/org/apache/derbyBuild/ChangesFileGenerator.java!setPamphletFileName(String),2,2,0,1,1,1,1,1,1,1,2,1,1,1,1,1,1,0,0,0,0,1
java/build/org/apache/derbyBuild/ChangesFileGenerator.java!setSummaryFileName(String),2,2,0,1,1,1,1,1,1,1,2,1,1,1,1,1,1,0,0,0,0,1
java/build/org/apache/derbyBuild/ChangesFileGenerator.java!squeezeText(Element),4,13,1,7,4,3,5,3,3,3,4,3,1,1,1,1,1,0,0,0,0,0.71
java/build/org/apache/derbyBuild/ChangesFileGenerator.java!stringifyStackTrace(Throwable),2,16,2,9,3,6,5,4,4,6,7,3,4,1,1,1,1,0,0,0,0,0.56
java/build/org/apache/derbyBuild/classlister.java!classlister(),3,17,1,16,1,14,0,17,17,14,15,1,14,1,1,2,1,0,0,0,0,0
java/build/org/apache/derbyBuild/classlister.java!findClasses(Properties),4,12,1,11,2,6,0,7,7,5,8,3,5,4,4,4,1,0,0,3,0,0
java/build/org/apache/derbyBuild/classlister.java!findDependencies(String),24,243,33,175,12,116,36,24,24,62,105,15,90,43,43,62,26,222,28,7,23,0.21
java/build/org/apache/derbyBuild/classlister.java!isCloudscapeCode(String),3,6,0,6,1,4,0,2,2,1,2,1,1,1,1,4,1,0,0,0,0,0
java/build/org/apache/derbyBuild/classlister.java!loadClasspath(),9,71,3,64,7,33,4,13,13,21,32,9,23,11,11,13,1,5,0,4,0,0.06
